bb_id_A,bb_id_B
8266232,2054648
1238985,2061644
1144995,2061019
3737650,2060239
3271879,2062039
3271876,2062039
4079921,2053213
3271881,2062039
3271880,2062039
9946603,2054435
4076906,2054839
1238533,2062234
4079103,2054689
4079562,2061608
4079623,2054728
4079824,2054663
4076027,2054831
4076603,2054663
1238453,2061350
4080302,2062294
9964438,2062289
4080501,2062185
4080593,2054505
4084119,2054643
4084612,2054688
4084735,2061753
4084844,2062280
4085653,2054506
4080210,2061632
1238282,2062294
1238983,2062294
4080597,2062178
1239046,2062295
1239136,2062265
4085365,2054735
3667646,2053460
4084863,2062113
4084880,2054708
4085194,2054748
4085230,2061643
4085280,2061753
1146484,2055103
1220594,2057177
4039032,2061514
4053289,2053402
1145154,2059656
1217198,2053407
4048661,2061004
4048664,2061004
1236354,2060632
48614,2060609
1027626,2055300
1027641,2055300
307792,2060225
3794635,2056169
51241,2055298
59243,2055298
77811,2057495
50494,2057497
332981,2055473
220441,2055473
63987,2059602
7128575,2062112
62722,2059602
315671,2059602
305029,2059602
1129552,2055473
3799885,2054823
84048,2055611
1139094,2055611
81177,2055609
22738,2057919
1232576,2055610
1138026,2055307
4085222,2061650
254674,2055610
50166,2055610
81178,2057918
10041,2057917
254647,2057888
312756,2060239
1236533,2060303
1156991,2060495
1167512,2058105
3958525,2061630
44603,2055768
78453,2058557
1230801,2058557
253606,2058557
52949,2058557
260832,2058557
1021922,2059419
1147337,2060350
1129900,2060350
53363,2060350
1144751,2055996
1168991,2060490
225517,2060468
280922,2060468
1236601,2060468
1235399,2060490
1235947,2060468
1236364,2060468
1177197,2062012
319592,2059682
327530,2055575
3804636,2056655
2077,2062011
2079,2062011
1016506,2062011
1181565,2062059
1173717,2062060
1175425,2062059
1178886,2062061
49249,2059683
238297,2055575
1129639,2056272
1223139,2056166
1220670,2056655
3804702,2055053
1041241,2058925
55866,2058926
1036640,2058925
1168161,2056460
1045371,2056460
1176255,2056656
1222453,2057067
1129008,2056657
1017161,2056451
1043693,2058927
1169445,2058927
3804903,2057067
1129269,2056658
3804912,2056651
3804936,2057132
1170917,2056167
688763,2055055
626212,2056167
1126697,2056460
1180554,2056655
1172381,2056213
1128664,2056449
1177023,2056213
1129257,2057069
1039318,2056212
1144804,2056450
3804849,2058928
1220845,2056450
1168821,2056650
1128670,2056212
1128672,2057067
1128674,2058930
1218802,2056651
3804967,2057066
1169961,2060331
3255315,2062251
217836,2054978
1233800,2056488
316758,2056488
612608,2057663
1175091,2056000
299114,2056488
1161126,2056000
1176321,2056000
3809860,2056792
1232080,2056792
3809862,2056792
1237184,2061335
237921,2057606
62482,2057608
63931,2057607
1160832,2055449
1174913,2055449
1237188,2054347
1042583,2054077
1186630,2054078
1044402,2053813
1024503,2053925
1015800,2054077
1023832,2055975
1031417,2055975
3814153,2053405
59190,2056903
281343,2053405
1217391,2056903
48090,2056634
1217329,2056634
1144283,2055152
1128502,2053279
1141210,2055155
3256866,2055152
1017955,2055975
3813629,2053975
301941,2060411
1175762,2056634
1167078,2056903
3814156,2056903
53928,2053405
1047122,2056634
